movie_title,character_name,cornell_character,actor_name,cast_order,actor_id
donnie darko,Samantha Darko,SAMANTHA,Daveigh Chase,11,1580
donnie darko,Principal Cole,PRINCIPAL COLE,David Moreland,17,20090
donnie darko,David,DAVID,Scotty Leavenworth,20,20093
donnie darko,Sean Smith,SEAN,Gary Lundy,22,20094
donnie darko,Seth Devlin,SETH,Alex Greenwald,23,20095
donnie darko,Ronald Fisher,RONALD,Stuart Stone,24,156011
donnie darko,Leroy,LEROY,Lee Weaver,38,1481
drop dead gorgeous,Amber Atkins,AMBER,Kirsten Dunst,0,205
drop dead gorgeous,Annette Atkins,ANNETTE,Ellen Barkin,1,6913
drop dead gorgeous,Gladys Leeman,GLADYS,Kirstie Alley,3,1796
drop dead gorgeous,Loretta,LORETTA,Allison Janney,4,19
drop dead gorgeous,Lester Leeman,LESTER,Sam McMurray,5,5176
drop dead gorgeous,Iris Clark,IRIS,Mindy Sterling,6,13924
drop dead gorgeous,Lisa Swenson,LISA,Brittany Murphy,7,328
drop dead gorgeous,Leslie Miller,LESLIE,Amy Adams,8,9273
drop dead gorgeous,"Harold Vilmes, Judge #2",HAROLD,Michael McShane,16,8316
drop dead gorgeous,Hank Vilmes,HANK,Will Sasso,17,39125
drop dead gorgeous,Colleen Douglas,COLLEEN,Nora Dunn,19,4496
drop dead gorgeous,Tina / Seiko Howard,TINA,Seiko Matsuda,21,120528
drop dead gorgeous,Documentarian (Voice),DOCUMENTARIAN,Thomas Lennon,22,539
drop dead gorgeous,Mr. Howard,MR. HOWARD,Richard Narita,23,47505
drop dead gorgeous,Brett Clemmens,BRETT,Casey Garven,28,3001786
drop dead gorgeous,Pregnant Fry Girl,PREGNANT FRY GIRL,Jacy King,29,588232
drop dead gorgeous,"Terry Macy, State Pageant",TERRY,Mo Gaffney,30,49833
duck soup,Bob Roland,BOB,Zeppo Marx,3,30014
duck soup,Vera Marcal,VERA,Raquel Torres,5,30015
duck soup,Ambassador Trentino,TRENTINO,Louis Calhern,6,4343
duck soup,Mrs. Teasdale's Butler (uncredited),MRS. TEASDALE,Sidney Bracey,13,80546
dumb and dumberer: when harry met lloyd,Harry Dunne,HARRY,Derek Richardson,0,33934
dumb and dumberer: when harry met lloyd,Lloyd Christmas,LLOYD,Eric Christian Olsen,1,29020
dumb and dumberer: when harry met lloyd,Mrs. Dunne,MRS. DUNNE,Mimi Rogers,2,13920
dumb and dumberer: when harry met lloyd,Ray,RAY,Luis Guzmán,3,40481
dumb and dumberer: when harry met lloyd,Jessica,JESSICA,Rachel Nichols,4,50347
dumb and dumberer: when harry met lloyd,Principal Collins,PRINCIPAL COLLINS,Eugene Levy,5,26510
dumb and dumberer: when harry met lloyd,Lewis,LEWIS,Shia LaBeouf,7,10959
dumb and dumberer: when harry met lloyd,Margie,MARGIE,Lin Shaye,8,7401
dumb and dumberer: when harry met lloyd,Turk,TURK,Elden Henson,9,20220
dumb and dumberer: when harry met lloyd,Ching Chong,CHING CHONG,Michelle Krusiec,11,55253
dumb and dumberer: when harry met lloyd,Ms. Heller,MS. HELLER,Cheri Oteri,15,60252
dumb and dumberer: when harry met lloyd,Jessica's Dad,JESSICA'S DAD,Bob Saget,16,72450
dumb and dumberer: when harry met lloyd,Toby,TOBY,Josh Braaten,21,1213302
dumb and dumberer: when harry met lloyd,Superintendent Zimmer,ZIMMER,Roger Eschbacher,33,105709
dune,Paul Atreides,PAUL,Timothée Chalamet,0,1190668
dune,Lady Jessica Atreides,JESSICA,Rebecca Ferguson,1,933238
dune,Baron Vladimir Harkonnen,BARON,Stellan Skarsgård,4,1640
dune,Thufir Hawat,THUFIR,Stephen McKinley Henderson,5,196179
dune,Gurney Halleck,GURNEY,Josh Brolin,6,16851
dune,Stilgar,STILGAR,Javier Bardem,7,3810
dune,Dr. Liet Kynes,KYNES,Sharon Duncan-Brewster,8,195666
dune,Piter de Vries,PITER,David Dastmalchian,11,83854
dune,Shadout Mapes,MAPES,Golda Rosheuvel,17,1856875
ed wood,Ed Wood,ED,Johnny Depp,0,85
ed wood,Bela Lugosi,BELA,Martin Landau,1,2641
ed wood,Dolores Fuller,DOLORES,Sarah Jessica Parker,2,520
ed wood,Kathy O'Hara,KATHY,Patricia Arquette,3,4687
ed wood,Criswell,CRISWELL,Jeffrey Jones,4,4004
ed wood,Bunny Breckinridge,BUNNY,Bill Murray,5,1532
ed wood,Vampira,VAMPIRA,Lisa Marie,6,4452
ed wood,Tor Johnson,TOR,Jim Myers,7,7136
ed wood,Reverend Lemon,REVEREND LEMON,G. D. Spradlin,8,3173
ed wood,Orson Welles,ORSON WELLES,Vincent D'Onofrio,9,7132
ed wood,Georgie Weiss,GEORGIE,Mike Starr,10,5170
ed wood,Paul Marco,PAUL MARCO,Max Casella,11,7133
ed wood,Conrad Brooks,CONRAD,Brent Hinkley,12,7134
ed wood,Loretta King,LORETTA,Juliet Landau,13,7137
ed wood,Ed Reynolds,REYNOLDS,Clive Rosengren,14,7138
ed wood,Cameraman Bill (uncredited),CAMERAMAN BILL,Norman Alden,15,7139
ed wood,Mr. Feldman (uncredited),MR. FELDMAN,Stanley DeSantis,21,4171
ed wood,Rude Boss (uncredited),RUDE BOSS,Biff Yeager,22,1916
ed wood,TV Show Host (uncredited),HOST,Bobby Slayton,33,53601
ed wood,Doctor (uncredited),DOCTOR,Ray Baker,50,12889
edtv,Ed 'Eddie' Pekurny,ED,Matthew McConaughey,0,10297
edtv,Ray Pekurny,RAY,Woody Harrelson,1,57755
edtv,Jeanette,JEANETTE,Sally Kirkland,2,12134
edtv,Shari,SHARI,Jenna Elfman,3,40279
edtv,Al,AL,Martin Landau,4,2641
edtv,Cynthia Topping,CYNTHIA,Ellen DeGeneres,5,14
edtv,Jill,JILL,Elizabeth Hurley,8,13918
edtv,John,JOHN,Adam Goldberg,9,6163
edtv,Marcia,MARCIA,Viveka Davis,10,156774
edtv,Felicia,FELICIA,Jenna Byrne,14,1075005
edtv,Rita,RITA,Wendle Josepher,23,9999
edtv,Dr. Geller,DR. GELLER,Jim Meskimen,27,30697
edtv,Barry,BARRY,Rick Overton,29,1539
edtv,Tad,TAD,James Ritz,30,129466
edtv,Lou,LOU,Joe Bellan,51,548090
election,Jim McAllister,JIM,Matthew Broderick,0,4756
election,Tracy Enid Flick,TRACY,Reese Witherspoon,1,368
election,Paul Metzler,PAUL,Chris Klein,2,21594
election,Tammy Metzler,TAMMY,Jessica Campbell,3,58032
election,Dave Novotny,DAVE,Mark Harelik,4,88949
election,Walt Hendricks,WALT,Phil Reeves,5,58741
election,Diane McAllister,DIANE,Molly Hagan,6,58045
election,Lisa Flanagan,LISA,Frankie Ingrassia,9,1015780
election,Jo Metzler,JO,Jeanine Jackson,11,152355
election,Dick Metzler,DICK,Holmes Osborne,12,1578
election,Larry Fouch,LARRY,Nicholas D'Agosto,14,37059
enemy of the state,Robert Clayton Dean,DEAN,Will Smith,0,2888
enemy of the state,Brill,BRILL,Gene Hackman,1,193
enemy of the state,Reynolds,REYNOLDS,Jon Voight,2,10127
enemy of the state,Hicks,HICKS,Loren Dean,4,11628
enemy of the state,Pratt,PRATT,Barry Pepper,6,12834
enemy of the state,Daniel Zavitz,ZAVITZ,Jason Lee,7,11662
enemy of the state,Rachel Banks,RACHEL,Lisa Bonet,9,3232
enemy of the state,Congressman Albert,ALBERT,Stuart Wilson,10,14344
enemy of the state,Jerry Miller,JERRY,James Le Gros,14,6474
enemy of the state,Shaffer,SHAFFER,Dan Butler,15,76470
enemy of the state,Fiedler,FIEDLER,Jack Black,16,70851
enemy of the state,Eric Dean,ERIC,Jascha Washington,22,58147
enemy of the state,Dylan,DYLAN,Bobby Boriello,24,1507100
enemy of the state,Jenny,JENNY,Donna W. Scott,36,52925
enemy of the state,Sal,SAL,Michael Andolini,38,2031129
enemy of the state,Frankie,FRANKIE,Arthur J. Nascarella,39,28033
enemy of the state,Brian Blake (uncredited),BLAKE,Brian Markinson,98,28004
enemy of the state,Mark Silverberg (uncredited),SILVERBERG,Philip Baker Hall,99,4492
entrapment,Hector Cruz,CRUZ,Will Patton,2,883
entrapment,Aaron Thibadeaux,THIBADEAUX,Ving Rhames,4,10182
erik the viking,Erik,ERIK,Tim Robbins,0,504
erik the viking,Freya,FREYA,Eartha Kitt,2,70243
erik the viking,King Arnulf,KING ARNULF,Terry Jones,3,10707
erik the viking,Princess Aud,AUD,Imogen Stubbs,4,20769
erik the viking,Loki,LOKI,Antony Sher,7,77637
erik the viking,Keitel Blacksmith,KEITEL,Gary Cady,8,189425
erik the viking,Sven's Dad,SVEN'S DAD,Charles McKeown,9,374
erik the viking,Sven the Berserk,SVEN,Tim McInnerny,10,41043
erik the viking,Ivar the Boneless,IVAR,John Gordon Sinclair,11,97884
erik the viking,Thorfinn Skullsplitter,THORFINN,Richard Ridings,12,6645
erik the viking,Harald the Missionary,HARALD,Freddie Jones,13,12517
erik the viking,Helga,HELGA,Samantha Bond,14,10699
erik the viking,Snorri the Miserable,SNORRI,Danny Schiller,15,47850
erik the viking,Leif the Lucky,LEIF,Jay Simpson,19,86467
erik the viking,Thorfinn's Mum,THORFINN'S MUM,Julia McCarthy,27,1482980
erin brockovich,Erin Brockovich,ERIN,Julia Roberts,0,1204
erin brockovich,Ed Masry,ED,Albert Finney,1,3926
erin brockovich,George,GEORGE,Aaron Eckhart,2,6383
erin brockovich,Donna Jensen,DONNA,Marg Helgenberger,3,19838
erin brockovich,Theresa Dallavale,THERESA,Veanne Cox,5,26719
erin brockovich,Brenda,BRENDA,Conchata Ferrell,6,1909
erin brockovich,Charles Embry,EMBRY,Tracey Walter,7,3801
erin brockovich,Kurt Potter,POTTER,Peter Coyote,8,9979
erin brockovich,Matthew Brown,MATTHEW,Scotty Leavenworth,11,20093
erin brockovich,Rosalind,ROSALIND,Dawn Didawick,17,6317
erin brockovich,Defending Lawyer,DEFENDING LAWYER,Pat Skipper,19,6326
erin brockovich,Mrs. Morales,MRS. MORALES,Irene Olga López,21,6329
erin brockovich,Katie,KATIE,Gemmenne de la Peña,24,51609
erin brockovich,Anna,ANNA,Adilah Barnes,25,154114
erin brockovich,Brian Frankel,FRANKEL,Randy Lowell,29,155626
erin brockovich,Mandy Robinson,MANDY,Meredith Zinner,33,2723866
erin brockovich,Laura Ambrosino,LAURA,Mimi Kennedy,35,91495
escape from l.a.,Snake Plissken,PLISSKEN,Kurt Russell,0,6856
escape from l.a.,Malloy,MALLOY,Stacy Keach,1,825
escape from l.a.,Utopia,UTOPIA,A.J. Langer,3,157904
escape from l.a.,Hershe Las Palamas,HERSHE,Pam Grier,5,2230
escape from l.a.,Pipeline,PIPELINE,Peter Fonda,6,8949
escape from l.a.,Cuervo Jones,CUERVO JONES,Georges Corraface,7,35529
escape from l.a.,Brazen,BRAZEN,Michelle Forbes,9,41820
escape from l.a.,Taslima,TASLIMA,Valeria Golino,10,3124
escape from l.a.,President,PRESIDENT,Cliff Robertson,23,19153
escape from the planet of the apes,Cornelius,CORNELIUS,Roddy McDowall,0,7505
escape from the planet of the apes,Dr. Zira,ZIRA,Kim Hunter,1,10539
escape from the planet of the apes,Dr. Lewis Dixon,LEWIS,Bradford Dillman,2,18647
escape from the planet of the apes,Dr. Milo,MILO,Sal Mineo,6,2770
escape from the planet of the apes,Aide,AIDE,M. Emmet Walsh,11,588
eternal sunshine of the spotless mind,Joel Barish,JOEL,Jim Carrey,0,206
eternal sunshine of the spotless mind,Clementine Kruczynski,CLEMENTINE,Kate Winslet,1,204
eternal sunshine of the spotless mind,Mary,MARY,Kirsten Dunst,2,205
eternal sunshine of the spotless mind,Stan,STAN,Mark Ruffalo,3,103
eternal sunshine of the spotless mind,Patrick,PATRICK,Elijah Wood,4,109
eternal sunshine of the spotless mind,Dr. Mierzwiak,MIERZWIAK,Tom Wilkinson,5,207
eternal sunshine of the spotless mind,Carrie,CARRIE,Jane Adams,6,209
even cowgirls get the blues,Sissy Hankshaw,SISSY,Uma Thurman,0,139
even cowgirls get the blues,The Chink,CHINK,Pat Morita,2,23915
even cowgirls get the blues,Julian Gitche,JULIAN,Keanu Reeves,4,6384
even cowgirls get the blues,The Countess,THE COUNTESS,John Hurt,5,5049
even cowgirls get the blues,Howard Barth,HOWARD,Crispin Glover,10,1064
even cowgirls get the blues,Pilgrim Man,MAN,Scott Patrick Green,36,18515
event horizon,Miller,MILLER,Laurence Fishburne,0,2975
event horizon,Weir,WEIR,Sam Neill,1,4783
event horizon,Peters,PETERS,Kathleen Quinlan,2,8183
event horizon,Starck,STARCK,Joely Richardson,3,20810
event horizon,Cooper,COOPER,Richard T. Jones,4,55755
event horizon,Justin,JUSTIN,Jack Noseworthy,5,22133
event horizon,Smith,SMITH,Sean Pertwee,7,28848
excalibur,King Arthur,ARTHUR,Nigel Terry,0,31431
excalibur,Merlin,MERLIN,Nicol Williamson,1,51812
excalibur,Morgana,MORGANA,Helen Mirren,2,15735
excalibur,Lancelot,LANCELOT,Nicholas Clay,3,31196
excalibur,Perceval,PERCEVAL,Paul Geoffrey,4,69735
excalibur,Guenevere,GUENEVERE,Cherie Lunghi,5,20768
excalibur,Mordred,MORDRED,Robert Addie,6,78525
excalibur,Uther,UTHER,Gabriel Byrne,7,5168
excalibur,Kay,KAY,Niall O'Brien,12,104758
face/off,Sean Archer,ARCHER,John Travolta,0,8891
face/off,Castor Troy,CASTOR,Nicolas Cage,1,2963
face/off,Eve Archer,EVE,Joan Allen,2,11148
face/off,Pollux Troy,POLLUX,Alessandro Nivola,3,4941
face/off,Sasha Hassler,SASHA,Gina Gershon,4,11150
face/off,Jamie Archer,JAMIE,Dominique Swain,5,11149
face/off,Dietrich Hassler,DIETRICH,Nick Cassavetes,6,11151
face/off,Victor Lazarro,LAZARRO,Harve Presnell,7,3907
face/off,Prison Guard Walton,WALTON,John Carroll Lynch,9,3911
face/off,Tito Biondi,TITO,Robert Wisdom,11,21505
face/off,Wanda,WANDA,Margaret Cho,12,11152
face/off,Buzz,BUZZ,James Denton,13,11153
face/off,Kimberly,KIMBERLY,Romy Walthall,21,82344
fantastic four,Reed Richards / Mr. Fantastic,REED,Miles Teller,0,996701
fantastic four,Johnny Storm / The Human Torch,JOHNNY,Michael B. Jordan,1,135651
fantastic four,Sue Storm / Invisible Woman,SUE,Kate Mara,2,51072
fantastic four,Ben Grimm / The Thing,BEN,Jamie Bell,3,478
fantastic four,Doctor Victor von Doom,VICTOR,Toby Kebbell,4,20286
fantastic voyage,Grant,GRANT,Stephen Boyd,0,10020
fantastic voyage,Cora,CORA,Raquel Welch,1,21462
fantastic voyage,General Carter,CARTER,Edmond O'Brien,2,8254
fantastic voyage,Dr. Michaels,MICHAELS,Donald Pleasence,3,9221
fantastic voyage,Col. Donald Reid,REID,Arthur O'Connell,4,857
fantastic voyage,Capt. Bill Owens,OWENS,William Redfield,5,7072
fantastic voyage,Dr. Duval,DUVAL,Arthur Kennedy,6,11128
fargo,Marge Gunderson,MARGE,Frances McDormand,0,3910
fargo,Jerry Lundegaard,JERRY,William H. Macy,1,3905
fargo,Carl Showalter,CARL,Steve Buscemi,2,884
fargo,Gaear Grimsrud,GRIMSRUD,Peter Stormare,3,53
fargo,Wade Gustafson,WADE,Harve Presnell,4,3907
fargo,Norm Gunderson,NORM,John Carroll Lynch,5,3911
fargo,Jean Lundegaard,JEAN,Kristin Rudrüd,6,3906
fargo,Lou,LOU,Bruce Bohne,7,155861
fargo,Shep Proudfoot,SHEP,Steve Reevis,8,4024
fargo,Mike Yanagita,MIKE,Steve Park,9,4025
fargo,Irate Customer,CUSTOMER,Gary Houston,10,3909
fargo,Stan Grossman,STAN,Larry Brandenburg,15,92119
fargo,Car Salesman,SALESMAN,Kurt Schweickhardt,22,1661118
fargo,State Trooper,TROOPER,James Gaulke,23,1504071
fargo,Airport Lot Attendant,ATTENDANT,Peter Schmitz,30,1510617
fargo,Man in Hallway,MAN,David S. Lomax,32,1223755
fast times at ridgemont high,Jeff Spicoli,SPICOLI,Sean Penn,0,2228
fast times at ridgemont high,Stacy Hamilton,STACY,Jennifer Jason Leigh,1,10431
fast times at ridgemont high,Brad Hamilton,BRAD,Judge Reinhold,2,777
fast times at ridgemont high,Mike Damone,DAMONE,Robert Romanus,3,61217
fast times at ridgemont high,Linda Barrett,LINDA,Phoebe Cates,5,16171
fast times at ridgemont high,Mr. Hand,MR. HAND,Ray Walston,6,4093
fast times at ridgemont high,Arnold,ARNOLD,Scott Thomson,7,9997
fast times at ridgemont high,Lisa,LISA,Amanda Wyss,9,13656
fast times at ridgemont high,Ron Johnson,RON,D.W. Brown,10,144304
fast times at ridgemont high,Dennis Taylor,DENNIS,Tom Nolan,13,1652467
fast times at ridgemont high,Curtis Spicoli,CURTIS,Patrick Brennan,18,1888068
fast times at ridgemont high,Businessman,BUSINESSMAN,Sonny Carl Davis,27,63214
fast times at ridgemont high,Beautiful Girl in Car,GIRL,Nancy Wilson,28,11656
fear and loathing in las vegas,Raoul Duke,DUKE,Johnny Depp,0,85
fear and loathing in las vegas,Dr. Gonzo,GONZO,Benicio del Toro,1,1121
fear and loathing in las vegas,Hitchhiker,HITCHHIKER,Tobey Maguire,2,2219
fear and loathing in las vegas,Desk Clerk at Mint Hotel,CLERK,Katherine Helmond,6,381
fear and loathing in las vegas,Highway Patrolman,HIGHWAY PATROLMAN,Gary Busey,31,2048
fear and loathing in las vegas,Maid,MAID,Jenette Goldstein,41,3981
fight club,Tyler Durden,TYLER,Brad Pitt,1,287
fight club,Marla Singer,MARLA,Helena Bonham Carter,2,1283
fight club,Angel Face,ANGEL FACE,Jared Leto,4,7499
fight club,Ricky,RICKY,Eion Bailey,7,7498
fight club,Intern at Hospital,INTERN,Richmond Arquette,8,7472
fight club,Group Leader at Remaining Men Together,LEADER,George Maguire,10,1129738
fight club,Detective Stern,DETECTIVE STERN,Thom Gossom Jr.,27,1219497
fight club,Lou,LOU,Peter Iacangelo,29,7500
fight club,Raymond K. Hessel,RAYMOND,Joon Kim,35,1744137
final destination,Alex Browning,ALEX,Devon Sawa,0,50398
final destination,Clear Rivers,CLEAR,Ali Larter,1,17303
final destination,Carter Horton,CARTER,Kerr Smith,2,43442
final destination,Billy Hitchcock,BILLY,Seann William Scott,4,57599
final destination,Tod Waggner,TOD,Chad Donella,5,86397
final destination,Agent Weine,WEINE,Daniel Roebuck,8,43774
final destination 2,Kimberly Corman,KIMBERLY,A.J. Cook,0,17236
final destination 2,Clear Rivers,CLEAR,Ali Larter,1,17303
final destination 2,Thomas Burke,THOMAS,Michael Landes,2,57428
final destination 2,Eugene Dix,EUGENE,Terrence 'T.C.' Carson,3,233191
final destination 2,Rory Peters,RORY,Jonathan Cherry,4,51937
final destination 2,Kat Jennings,KAT,Keegan Connor Tracy,5,42710
final destination 2,Nora Carpenter,NORA,Lynda Boyd,6,20188
final destination 2,Tim Carpenter,TIM,James Kirk,7,58374
final destination 2,Isabella Hudson,ISABELLA,Justina Machado,8,95517
final destination 2,Shaina McKlank,SHAINA,Sarah Carter,11,56825
final destination 2,Dano Estevez,DANO,Alejandro Rae,12,90132
final destination 2,Frankie Whitman,FRANKIE,Shaun Sipos,13,65772
final destination 2,Deputy Steve,STEVE,Aaron Douglas,21,77222
final destination 2,Detective Suby,DETECTIVE SUBY,Eric Keenleyside,22,2250
five easy pieces,Rayette Dipesto,RAYETTE,Karen Black,1,8963
five easy pieces,Catherine Van Oost,CATHERINE,Susan Anspach,2,95788
five easy pieces,Carl Fidelio Dupea,CARL,Ralph Waite,4,8853
five easy pieces,Elton,ELTON,Billy Green Bush,5,35090
five easy pieces,Samia Glavia,SAMIA,Irene Dailey,6,179383
five easy pieces,Terry Grouse,TERRY,Toni Basil,7,8964
five easy pieces,Waitress,WAITRESS,Lorna Thayer,8,95787
five easy pieces,Palm Apodaca,PALM,Helena Kallianiotes,10,42155
five easy pieces,Twinky,TWINKY,Marlena MacGuire,14,95784
five easy pieces,Betty,BETTY,Sally Struthers,15,49352
five feet high and rising,Victor,VICTOR,Victor Rasuk,0,59251
five feet high and rising,Amanda,AMANDA,Judy Marte,1,93821
five feet high and rising,Carlos,CARLOS,Carlos Santiago,2,3097526
fletch,Alan Stanwyk,STANWYK,Tim Matheson,1,21561
fletch,Gail Stanwyk,GAIL,Dana Wheeler-Nicholson,2,58866
fletch,Frank Walker,WALKER,Richard Libertini,4,20163
fletch,Larry,LARRY,Geena Davis,5,16935
fletch,Fat Sam,FAT SAM,George Wendt,7,66606
fletch,Stanton Boyd,BOYD,Kenneth Mars,8,9601
fletch,Marvin Gillet,MARVIN,George Wyner,11,14669
fletch,Gummy,GUMMY,Larry Jenkins,13,124603
fletch,Creasy,CREASY,Ralph Seymour,14,5147
fletch,Pan Am Clerk,CLERK,Alison La Placa,23,1218880
fletch,Waiter,WAITER,Rick Garcia,26,1362531
frances,Frances Farmer,FRANCES,Jessica Lange,0,4431
frances,Harry York,HARRY,Sam Shepard,1,9880
frances,Lillian Farmer,LILLIAN,Kim Stanley,2,31440
frances,Ernest Farmer,ERNEST,Bart Burns,3,32328
frances,Dick Steele,DICK,Christopher Pennock,4,158032
frances,Judge Hillier,JUDGE,James Karen,5,14852
frances,Lobotomy Doctor,DOCTOR,Gerald S. O'Loughlin,6,119485
frances,Mr. Bebe,BEBE,Allan Rich,8,568531
frances,Dr. Doyle,DOYLE,Woodrow Parfrey,9,13263
frances,Bob Barnes,BARNES,Jack Riley,10,62590
frances,Harold Clurman,CLURMAN,Jordan Charney,12,51549
frances,Clifford Odets,CLIFFORD,Jeffrey DeMunn,16,12645
frances,Dr. Symington,SYMINGTON,Lane Smith,17,65019
frances,Hitchhiker,HITCHHIKER,Jonathan Banks,18,783
frances,Desk Sergeant,SERGEANT,James Brodhead,19,1423661
frances,Ralph Edwards,EDWARDS,Donald Craig,23,32480
frances,Clapper Man,MAN,Jack Fitzgerald,25,3462503
frances,Martoni Kaminski,KAMINSKI,Rod Pilloud,33,1798934
frances,Studio Lawyer,LAWYER,David Schroeder,35,194624
frances,Drama Teacher,DRAMA TEACHER,Sandra Seacat,37,110877
frances,Motorcycle Cop,COP,Biff Yeager,42,1916
frankenstein,Henry Frankenstein,HENRY,Colin Clive,0,2923
frankenstein,Elizabeth,ELIZABETH,Mae Clarke,1,29814
frankenstein,Victor Moritz,VICTOR,John Boles,2,29815
frankenstein,Doctor Waldman,WALDMAN,Edward Van Sloan,4,1550
frequency,Frank Sullivan,FRANK,Dennis Quaid,0,6065
frequency,John Sullivan,JOHN,Jim Caviezel,1,8767
frequency,Jack Shepard,SHEPARD,Shawn Doyle,2,25878
frequency,Julia Sullivan,JULIA,Elizabeth Mitchell,3,31167
frequency,Satch DeLeon,SATCH,Andre Braugher,4,6861
frequency,Gordo Hersch,GORDO,Noah Emmerich,5,11315
frequency,Graham Gibson,GIBSON,Jordan Bridges,7,65762
frequency,Johnny Sullivan (6 Years),JOHNNY,Daniel Henson,8,65757
frequency,Daryl Simpson,DARYL,Rocco Sisto,19,65765
frequency,Con Ed Supervisor,SUPERVISOR,John Di Benedetto,21,60121
friday the 13th part iii,Chris Higgins,CHRIS,Dana Kimmell,0,58799
friday the 13th part iii,Vera Sanchez,VERA,Catherine Parks,1,55268
friday the 13th part iii,Debbie,DEBBIE,Tracie Savage,3,1225471
friday the 13th part iii,Abel,ABEL,David Wiley,4,1782844
friday the 13th part iii,Chili,CHILI,Rachel Howard,5,82176
friday the 13th part iii,Shelly,SHELLY,Larry Zerner,7,558477
friday the 13th part iii,Andy,ANDY,Jeffrey Rogers,9,106249
friday the 13th part iii,Chuck,CHUCK,David Katims,11,1682653
friday the 13th part viii: jason takes manhattan,Rennie Wickham,RENNIE,Jensen Daggett,0,64733
friday the 13th part viii: jason takes manhattan,Tamara Mason,TAMARA,Sharlene Martin,1,159614
friday the 13th part viii: jason takes manhattan,Sean Robertson,SEAN,Scott Reeves,2,1196615
friday the 13th part viii: jason takes manhattan,Eva Watanabe,EVA,Kelly Hu,7,11024
friday the 13th part viii: jason takes manhattan,Jim Miller,JIM,Todd Caldecott,8,64730
friday the 13th part viii: jason takes manhattan,Charles McCulloch,MCCULLOCH,Peter Mark Richman,9,13401
friday the 13th part viii: jason takes manhattan,Wayne Webber,WAYNE,Martin Cummins,14,116573
from dusk till dawn,Seth Gecko,SETH,George Clooney,0,1461
from dusk till dawn,Richard Gecko,RICHARD,Quentin Tarantino,1,138
from dusk till dawn,Jacob Fuller,JACOB,Harvey Keitel,2,1037
from dusk till dawn,Kate Fuller,KATE,Juliette Lewis,3,3196
from dusk till dawn,Scott Fuller,SCOTT,Ernest Liu,4,11158
from dusk till dawn,Border Guard / Chet Pussy / Carlos,CARLOS,Cheech Marin,6,11159
from dusk till dawn,Razor Charlie,RAZOR CHARLIE,Danny Trejo,7,11160
from dusk till dawn,Texas Ranger Earl McGraw,MCGRAW,Michael Parks,10,2536
from dusk till dawn,Pete Bottoms,PETE,John Hawkes,15,16861
g.i. jane,Lt. Jordan O'Neil,JORDAN,Demi Moore,0,3416
g.i. jane,McCool,MCCOOL,Morris Chestnut,2,9779
g.i. jane,Flea,FLEA,Josh Hopkins,3,31532
g.i. jane,Cortez,CORTEZ,David Vadim,4,37205
g.i. jane,Wickwire,WICKWIRE,Boyd Kestner,6,37206
g.i. jane,Instructor Pyro,INSTRUCTOR PYRO,Kevin Gage,7,34839
g.i. jane,Instructor Johns,INSTRUCTOR JOHNS,David Warshofsky,8,37204
g.i. jane,Royce,ROYCE,Jason Beghe,9,37203
g.i. jane,Senator Lillian DeHaven,DEHAVEN,Anne Bancroft,10,10774
g.i. jane,C.O. Salem,C.O.,Scott Wilson,11,6914
g.i. jane,Theodore Hayes,HAYES,Daniel von Bargen,12,1473
g.i. jane,Blondell,BLONDELL,Lucinda Jenney,14,5148
galaxy quest,Jason Nesmith,JASON,Tim Allen,0,12898
galaxy quest,Gwen DeMarco,GWEN,Sigourney Weaver,1,10205
galaxy quest,Alexander Dane,ALEXANDER,Alan Rickman,2,4566
galaxy quest,Fred Kwan,FRED,Tony Shalhoub,3,4252
galaxy quest,Guy Fleegman,GUY,Sam Rockwell,4,6807
galaxy quest,Tommy Webber,TOMMY,Daryl Mitchell,5,15028
galaxy quest,Mathesar,MATHESAR,Enrico Colantoni,6,15029
galaxy quest,Sarris,SARRIS,Robin Sachs,7,15030
galaxy quest,Brandon,BRANDON,Justin Long,9,15033
galaxy quest,Quellek,QUELLEK,Patrick Breen,11,15031
galaxy quest,Kyle,KYLE,Jeremy Howard,12,15034
galaxy quest,Nervous Tech,NERVOUS TECH,Dian Bachar,16,55624
gandhi,Mahatma Gandhi,GANDHI,Ben Kingsley,0,2282
gandhi,Margaret Bourke-White,BOURKE-WHITE,Candice Bergen,1,11850
gandhi,Lord Irwin,IRWIN,John Gielgud,3,11857
gandhi,Vince Walker,WALKER,Martin Sheen,7,8349
gandhi,Reverend Charlie Andrews,CHARLIE,Ian Charleson,8,11854
gandhi,General Jan Christiaan Smuts,SMUTS,Athol Fugard,10,11860
gandhi,Sardar Vallabhbhai Patel,PATEL,Saeed Jaffrey,12,11852
gandhi,Mirabehn,MIRABEHN,Geraldine James,13,11855
gandhi,Mohammad Ali Jinnah,JINNAH,Alyque Padamsee,14,11853
gandhi,Khan,KHAN,Amrish Puri,15,691
gandhi,Pandit Nehru,NEHRU,Roshan Seth,16,693
gandhi,Senior Police Officer,SENIOR POLICE OFFICER,Ian Bannen,17,2481
gandhi,Collins,COLLINS,Richard Griffiths,20,10983
gandhi,Porter,PORTER,Winston Ntshona,35,75790
gattaca,Vincent Freeman,VINCENT,Ethan Hawke,0,569
gattaca,Irene Cassini,IRENE,Uma Thurman,1,139
gattaca,Jerome Eugene Morrow,JEROME,Jude Law,2,9642
